solution_id,beneficio
1,126552
2,67780
3,194332
4,14415
5,140967
6,82195
7,208747
8,156706
9,283258
10,224486
11,351038
12,171121
13,297673
14,238901
15,365453
16,161806
17,288358
18,229586
19,356138
20,176221
21,302773
22,244001
23,370553
24,318512
25,445064
26,386292
27,512844
28,332927
29,459479
30,400707
31,527259
32,89535
33,216087
34,157315
35,283867
36,103950
37,230502
38,171730
39,298282
40,246241
41,372793
42,314021
43,440573
44,260656
45,387208
46,328436
47,454988
48,251341
49,377893
50,319121
51,445673
52,265756
53,392308
54,333536
55,460088
56,408047
57,534599
58,475827
59,602379
60,422462
61,549014
62,490242
63,616794
64,22023
65,148575
66,89803
67,216355
68,36438
69,162990
70,104218
71,230770
72,178729
73,305281
74,246509
75,373061
76,193144
77,319696
78,260924
79,387476
80,183829
81,310381
82,251609
83,378161
84,198244
85,324796
86,266024
87,392576
88,340535
89,467087
90,408315
91,534867
92,354950
93,481502
94,422730
95,549282
96,111558
97,238110
98,179338
99,305890
100,125973
101,252525
102,193753
103,320305
104,268264
105,394816
106,336044
107,462596
108,282679
109,409231
110,350459
111,477011
112,273364
113,399916
114,341144
115,467696
116,287779
117,414331
118,355559
119,482111
120,430070
121,556622
122,497850
123,624402
124,444485
125,571037
126,512265
127,638817
128,155015
129,281567
130,222795
131,349347
132,169430
133,295982
134,237210
135,363762
136,311721
137,438273
138,379501
139,506053
140,326136
141,452688
142,393916
143,520468
144,316821
145,443373
146,384601
147,511153
148,331236
149,457788
150,399016
151,525568
152,473527
153,600079
154,541307
155,667859
156,487942
157,614494
158,555722
159,682274
160,244550
161,371102
162,312330
163,438882
164,258965
165,385517
166,326745
167,453297
168,401256
169,527808
170,469036
171,595588
172,415671
173,542223
174,483451
175,610003
176,406356
177,532908
178,474136
179,600688
180,420771
181,547323
182,488551
183,615103
184,563062
185,689614
186,630842
187,757394
188,577477
189,704029
190,645257
191,771809
192,177038
193,303590
194,244818
195,371370
196,191453
197,318005
198,259233
199,385785
200,333744
201,460296
202,401524
203,528076
204,348159
205,474711
206,415939
207,542491
208,338844
209,465396
210,406624
211,533176
212,353259
213,479811
214,421039
215,547591
216,495550
217,622102
218,563330
219,689882
220,509965
221,636517
222,577745
223,704297
224,266573
225,393125
226,334353
227,460905
228,280988
229,407540
230,348768
231,475320
232,423279
233,549831
234,491059
235,617611
236,437694
237,564246
238,505474
239,632026
240,428379
241,554931
242,496159
243,622711
244,442794
245,569346
246,510574
247,637126
248,585085
249,711637
250,652865
251,779417
252,599500
253,726052
254,667280
255,793832
256,5.11261e+07
257,5.12526e+07
258,5.11938e+07
259,5.13204e+07
260,5.11405e+07
261,5.1267e+07
262,5.12082e+07
263,5.13348e+07
264,5.12828e+07
265,5.14093e+07
266,5.13505e+07
267,5.14771e+07
268,5.12972e+07
269,5.14237e+07
270,5.1365e+07
271,5.14915e+07
272,5.12879e+07
273,5.14144e+07
274,5.13556e+07
275,5.14822e+07
276,5.13023e+07
277,5.14288e+07
278,5.13701e+07
279,5.14966e+07
280,5.14446e+07
281,5.15711e+07
282,5.15123e+07
283,5.16389e+07
284,5.1459e+07
285,5.15855e+07
286,5.15268e+07
287,5.16533e+07
288,5.12156e+07
289,5.13421e+07
290,5.12834e+07
291,5.14099e+07
292,5.123e+07
293,5.13566e+07
294,5.12978e+07
295,5.14243e+07
296,5.13723e+07
297,5.14988e+07
298,5.14401e+07
299,5.15666e+07
300,5.13867e+07
301,5.15133e+07
302,5.14545e+07
303,5.1581e+07
304,5.13774e+07
305,5.15039e+07
306,5.14452e+07
307,5.15717e+07
308,5.13918e+07
309,5.15184e+07
310,5.14596e+07
311,5.15861e+07
312,5.15341e+07
313,5.16607e+07
314,5.16019e+07
315,5.17284e+07
316,5.15485e+07
317,5.16751e+07
318,5.16163e+07
319,5.17428e+07
320,5.11481e+07
321,5.12746e+07
322,5.12159e+07
323,5.13424e+07
324,5.11625e+07
325,5.1289e+07
326,5.12303e+07
327,5.13568e+07
328,5.13048e+07
329,5.14313e+07
330,5.13726e+07
331,5.14991e+07
332,5.13192e+07
333,5.14458e+07
334,5.1387e+07
335,5.15135e+07
336,5.13099e+07
337,5.14364e+07
338,5.13777e+07
339,5.15042e+07
340,5.13243e+07
341,5.14509e+07
342,5.13921e+07
343,5.15186e+07
344,5.14666e+07
345,5.15931e+07
346,5.15344e+07
347,5.16609e+07
348,5.1481e+07
349,5.16076e+07
350,5.15488e+07
351,5.16753e+07
352,5.12376e+07
353,5.13642e+07
354,5.13054e+07
355,5.14319e+07
356,5.1252e+07
357,5.13786e+07
358,5.13198e+07
359,5.14464e+07
360,5.13943e+07
361,5.15209e+07
362,5.14621e+07
363,5.15887e+07
364,5.14087e+07
365,5.15353e+07
366,5.14765e+07
367,5.16031e+07
368,5.13994e+07
369,5.1526e+07
370,5.14672e+07
371,5.15938e+07
372,5.14138e+07
373,5.15404e+07
374,5.14816e+07
375,5.16082e+07
376,5.15561e+07
377,5.16827e+07
378,5.16239e+07
379,5.17505e+07
380,5.15705e+07
381,5.16971e+07
382,5.16383e+07
383,5.17649e+07
384,5.12811e+07
385,5.14076e+07
386,5.13488e+07
387,5.14754e+07
388,5.12955e+07
389,5.1422e+07
390,5.13633e+07
391,5.14898e+07
392,5.14378e+07
393,5.15643e+07
394,5.15056e+07
395,5.16321e+07
396,5.14522e+07
397,5.15787e+07
398,5.152e+07
399,5.16465e+07
